,all_prices,avg_rating,ios_prices,list_price,name,num_voters,page_no,rank,rating,year
0,"

			List: $140.00
		

Lowest Amazon: $94.01


New Amazon: $109.98




","
			8.91		","
New Amazon: $109.98



","
			List: $140.00
		",Gloomhaven,"
			23974		",1,1,"
			8.611		",-2017
1,"

			List: $69.99
		

New Amazon: Too low to display




","
			8.65		",,"
			List: $69.99
		",Pandemic Legacy: Season 1,"
			30607		",1,2,"
			8.493		",-2015
2,"

			List: $69.95
		

New Amazon: $45.68




","
			8.54		","
iOS App: $9.99
","
			List: $69.95
		",Through the Ages: A New Story of Civilization,"
			15336		",1,3,"
			8.258		",-2015
3,"

			List: $69.95
		

Lowest Amazon: $38.78


New Amazon: $44.87




","
			8.40		","
New Amazon: $44.87



","
			List: $69.95
		",Terraforming Mars,"
			37413		",1,4,"
			8.241		",-2016
4,"

			List: $64.99
		

New Amazon: $32.74




","
			8.33		","
iOS App: $6.99
","
			List: $64.99
		",Twilight Struggle,"
			34009		",1,5,"
			8.175		",-2005
5,"

			List: $99.95
		

Lowest Amazon: Too low to display


New Amazon: $84.19




","
			8.45		","
New Amazon: $84.19



","
			List: $99.95
		",Star Wars: Rebellion,"
			16246		",1,6,"
			8.161		",-2016
6,"

			List: $83.97
		

New Amazon: $79.99




","
			8.56		",,"
			List: $83.97
		",Gaia Project,"
			8837		",1,7,"
			8.125		",-2017
7,"

			List: $90.00
		

Lowest Amazon: Too low to display


New Amazon: $58.50




","
			8.29		","
New Amazon: $58.50



","
			List: $90.00
		",Scythe,"
			38479		",1,8,"
			8.121		",-2016
8,"

			List: $69.95
		

New Amazon: $55.95




","
			8.29		",,"
			List: $69.95
		",Great Western Trail,"
			18612		",1,9,"
			8.078		",-2016
9,"

			List: $149.95
		

New Amazon: $119.96




","
			8.74		",,"
			List: $149.95
		",Twilight Imperium (Fourth Edition),"
			6248		",1,10,"
			8.064		",-2017
10,"

			List: $79.99
		

New Amazon: $51.25

","
			8.20		","
iOS App: $9.99
","
			List: $79.99
		",Terra Mystica,"
			32255		",1,11,"
			8.050		",-2012
11,"

			List: $89.99
		

New Amazon: $70.00




","
			8.42		",,"
			List: $89.99
		",War of the Ring (Second Edition),"
			9640		",1,12,"
			8.030		",-2012
12,"

			List: $41.99
		

Lowest Amazon: $32.05


New Amazon: $34.73




","
			8.13		","
New Amazon: $34.73



","
			List: $41.99
		",The Castles of Burgundy,"
			36129		",1,13,"
			8.012		",-2011
13,"

			List: $29.99
		

Lowest Amazon: $21.37


New Amazon: $26.99




","
			8.13		","
New Amazon: $26.99



","
			List: $29.99
		",7 Wonders Duel,"
			39700		",1,14,"
			7.992		",-2015
14,"

			List: $79.95
		

Lowest Amazon: $51.22


New Amazon: $57.12




","
			8.39		","
New Amazon: $57.12



","
			List: $79.95
		",Spirit Island,"
			10155		",1,15,"
			7.990		",-2017
15,"

			List: $59.00
		
","
			8.63		","
The 7th Continent
(2017)
","
			List: $59.00
		",Brass: Birmingham,"
			5090		",1,16,"
			7.973		",-2018
16,,"
			8.44		","

			List: $60.00
		

Lowest Amazon: Too low to display


New Amazon: $44.63




","]
					",The 7th Continent,"
			8724		",1,17,"
			7.943		",-2017
17,"

			List: $60.00
		

Lowest Amazon: Too low to display


New Amazon: $44.63




","
			8.15		","
New Amazon: $44.63



","
			List: $60.00
		",Viticulture Essential Edition,"
			16903		",1,18,"
			7.927		",-2015
18,"

			List: $64.99
		

New Amazon: $44.93




","
			8.10		",,"
			List: $64.99
		",Concordia,"
			19388		",1,19,"
			7.925		",-2013
19,"

			List: $44.99
		

Lowest Amazon: $25.96


New Amazon: $28.48




","
			8.04		","
New Amazon: $28.48



","
			List: $44.99
		",Puerto Rico,"
			55980		",1,20,"
			7.923		",-2002
20,"

			List: $39.95
		

Lowest Amazon: Too low to display


New Amazon: $31.80




","
			8.23		","
New Amazon: $31.80



","
			List: $39.95
		",Arkham Horror: The Card Game,"
			16913		",1,21,"
			7.921		",-2016
21,"

			List: $97.00
		

Lowest Amazon: $71.99


New Amazon: $77.98




","
			8.08		","
New Amazon: $77.98



","
			List: $97.00
		",Caverna: The Cave Farmers,"
			23374		",1,22,"
			7.910		",-2013
22,"

			List: $59.99
		

New Amazon: $59.95

","
			8.12		","
iOS App: $5.99
","
			List: $59.99
		",Brass: Lancashire,"
			14786		",1,23,"
			7.908		",-2007
23,"

			List: $124.99
		

Lowest Amazon: $94.54


New Amazon: $97.99




","
			8.10		","
New Amazon: $97.99



","
			List: $124.99
		",Mage Knight Board Game,"
			23262		",1,24,"
			7.894		",-2011
24,"

			List: $79.71
		

New Amazon: $47.99

","
			7.99		","
iOS App: $1.99
","
			List: $79.71
		",Agricola,"
			56568		",1,25,"
			7.889		",-2007
25,"

			List: $99.95
		

Lowest Amazon: $78.52


New Amazon: $89.95




","
			8.16		","
New Amazon: $89.95



","
			List: $99.95
		",Mansions of Madness: Second Edition,"
			16143		",1,26,"
			7.879		",-2016
26,"

			List: $59.99
		

New Amazon: $47.00




","
			8.08		",,"
			List: $59.99
		",Orléans,"
			15560		",1,27,"
			7.875		",-2014
27,"

			List: $99.99
		

Lowest Amazon: Too low to display


New Amazon: $83.00

","
			8.18		","
New Amazon: $83.00
","
			List: $99.99
		",A Feast for Odin,"
			10796		",1,28,"
			7.856		",-2016
28,"

New Amazon: $101.24




","
			8.19		","
Blood Rage
(2015)
","
",Food Chain Magnate,"
			9429		",1,29,"
			7.851		",-2015
29,"

			List: $79.99
		

New Amazon: $62.97




","
			8.03		",,"
			List: $79.99
		",Blood Rage,"
			25083		",1,30,"
			7.850		",-2015
30,"

Lowest Amazon: $104.99


New Amazon: $147.77




","
			8.14		",,"
",Mechs vs. Minions,"
			10984		",1,31,"
			7.818		",-2016
31,"

			List: $79.99
		

Lowest Amazon: Too low to display


New Amazon: $63.84




","
			8.27		","
New Amazon: $63.84



","
			List: $79.99
		",Pandemic Legacy: Season 2,"
			6907		",1,32,"
			7.813		",-2017
32,,"
			8.81		","

			List: $99.99
		

New Amazon: $79.96




","]
					",Kingdom Death: Monster,"
			5748		",1,33,"
			7.811		",-2015
33,"

			List: $99.99
		

New Amazon: $79.96




","
			8.08		","
iOS App: Free
","
			List: $99.99
		",Star Wars: Imperial Assault,"
			16369		",1,34,"
			7.806		",-2014
34,"

			List: $69.99
		

Lowest Amazon: $30.00


New Amazon: $99.99




","
			7.99		","
New Amazon: $99.99



","
			List: $69.99
		",Through the Ages: A Story of Civilization,"
			16833		",1,35,"
			7.803		",-2006
35,"

			List: $44.99
		

New Amazon: $49.95

","
			7.89		",,"
			List: $44.99
		",Power Grid,"
			49560		",1,36,"
			7.802		",-2004
36,"

			List: $39.99
		

New Amazon: $22.85




","
			7.94		",,"
			List: $39.99
		",Azul,"
			26300		",1,37,"
			7.787		",-2017
37,"

			List: $59.95
		

Lowest Amazon: $35.99


New Amazon: $48.91




","
			7.93		","
New Amazon: $48.91



","
			List: $59.95
		",Tzolk'in: The Mayan Calendar,"
			24137		",1,38,"
			7.777		",-2012
38,"

			List: $99.00
		

New Amazon: $168.59




","
			7.95		",,"
			List: $99.00
		",Eclipse,"
			23869		",1,39,"
			7.777		",-2011
39,"

			List: $70.00
		

Lowest Amazon: $49.99


New Amazon: $59.94




","
			7.89		","
New Amazon: $59.94



","
			List: $70.00
		",Le Havre,"
			22892		",1,40,"
			7.755		",-2008
40,"

			List: $65.00
		

New Amazon: $45.00




","
			7.91		",,"
			List: $65.00
		",Robinson Crusoe: Adventures on the Cursed Island,"
			26336		",1,41,"
			7.745		",-2012
41,"

			List: $59.99
		

New Amazon: $47.99




","
			7.94		",,"
			List: $59.99
		",The Voyages of Marco Polo,"
			15143		",1,42,"
			7.731		",-2015
42,"

			List: $69.99
		

Lowest Amazon: Too low to display


New Amazon: $45.80




","
			8.07		","
New Amazon: $45.80



","
			List: $69.99
		",Clans of Caledonia,"
			8619		",1,43,"
			7.710		",-2017
43,"

			List: $39.95
		

New Amazon: $89.94




","
			7.90		",,"
			List: $39.95
		",Android: Netrunner,"
			24150		",1,44,"
			7.709		",-2012
44,"

			List: $49.99
		

New Amazon: Too low to display




","
			7.78		","
iOS App: $4.99
","
			List: $49.99
		",7 Wonders,"
			68102		",1,45,"
			7.691		",-2010
45,"

New Amazon: $47.48

","
			7.86		","
Race for the Galaxy
(2007)
","
",Keyflower,"
			15728		",1,46,"
			7.676		",-2012
46,"

			List: $34.99
		

New Amazon: $30.68

","
			7.76		","
iOS App: $6.99
","
			List: $34.99
		",Race for the Galaxy,"
			40281		",1,47,"
			7.663		",-2007
47,"

			List: $54.99
		

Lowest Amazon: $33.99


New Amazon: $41.61




","
			7.81		","
New Amazon: $41.61



","
			List: $54.99
		",Caylus,"
			24501		",1,48,"
			7.662		",-2005
48,"

			List: $79.99
		

Lowest Amazon: $50.00


New Amazon: $60.99




","
			7.85		","
New Amazon: $60.99



","
			List: $79.99
		",Dominant Species,"
			15548		",1,49,"
			7.659		",-2010
49,"

			List: $79.99
		

Lowest Amazon: $58.95


New Amazon: $63.99




","
			8.14		","
New Amazon: $63.99



","
			List: $79.99
		",Fields of Arle,"
			5662		",1,50,"
			7.650		",-2014
50,"

			List: $49.99
		

New Amazon: $35.42

","
			7.77		","
iOS App: $6.99
","
			List: $49.99
		",Lords of Waterdeep,"
			38127		",1,51,"
			7.647		",-2012
51,"

			List: $99.99
		

Lowest Amazon: $66.99


New Amazon: $72.94




","
			8.02		","
New Amazon: $72.94



","
			List: $99.99
		",Rising Sun,"
			10180		",1,52,"
			7.645		",-2018
52,"

			List: $65.00
		

Lowest Amazon: $72.95


New Amazon: $79.99




","
			8.12		","
New Amazon: $79.99



","
			List: $65.00
		",Anachrony,"
			6626		",1,53,"
			7.643		",-2017
53,"

			List: $89.95
		

Lowest Amazon: $98.95


New Amazon: $99.97




","
			7.87		","
New Amazon: $99.97



","
			List: $89.95
		",Twilight Imperium (Third Edition),"
			17169		",1,54,"
			7.642		",-2005
54,"

			List: $59.99
		

Lowest Amazon: Too low to display


New Amazon: $40.05




","
			7.78		","
New Amazon: $40.05



","
			List: $59.99
		",Five Tribes,"
			25337		",1,55,"
			7.640		",-2014
55,"

			List: $59.99
		

Lowest Amazon: $42.18


New Amazon: $47.96

","
			7.86		","
New Amazon: $47.96
","
			List: $59.99
		",Eldritch Horror,"
			23297		",1,56,"
			7.635		",-2013
56,"

			List: $99.99
		

Lowest Amazon: Too low to display


New Amazon: $48.59




","
			7.78		","
New Amazon: $48.59



","
			List: $99.99
		",El Grande,"
			21071		",1,57,"
			7.630		",-1995
57,"

			List: $19.95
		

Lowest Amazon: $14.29


New Amazon: $16.97




","
			7.72		","
New Amazon: $16.97



","
			List: $19.95
		",Codenames,"
			49966		",1,58,"
			7.628		",-2015
58,"

			List: $60.00
		

New Amazon: $42.06




","
			7.82		",,"
			List: $60.00
		",Clank!: A Deck-Building Adventure,"
			16478		",1,59,"
			7.615		",-2016
59,"

			List: $39.95
		

New Amazon: $24.97




","
			7.74		",,"
			List: $39.95
		",Dominion: Intrigue,"
			26907		",1,60,"
			7.610		",-2009
60,"

			List: $60.00
		

Lowest Amazon: $44.99


New Amazon: $46.84




","
			8.10		","
New Amazon: $46.84



","
			List: $60.00
		",Root,"
			6357		",1,61,"
			7.607		",-2018
61,"

			List: $27.99
		

New Amazon: $23.99

","
			7.72		","
iOS App: $3.99
","
			List: $27.99
		",Patchwork,"
			32819		",1,62,"
			7.604		",-2014
62,"

			List: $79.99
		

New Amazon: $99.98




","
			8.02		",,"
			List: $79.99
		",The Gallerist,"
			6609		",1,63,"
			7.601		",-2015
63,"

			List: $44.99
		

New Amazon: $44.99




","
			7.93		",,"
			List: $44.99
		",Mombasa,"
			8454		",1,64,"
			7.597		",-2015
64,"

			List: $49.95
		

Lowest Amazon: $175.96


New Amazon: $272.24




","
			7.74		","
New Amazon: $272.24



","
			List: $49.95
		",Battlestar Galactica: The Board Game,"
			29601		",1,65,"
			7.592		",-2008
65,"

Lowest Amazon: $30.23


New Amazon: $42.55




","
			7.73		",,"
",Roll for the Galaxy,"
			21110		",1,66,"
			7.587		",-2014
66,"

			List: $49.99
		

New Amazon: $32.49




","
			7.81		",,"
			List: $49.99
		",Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,"
			13287		",1,67,"
			7.580		",-1981
67,"

			List: $49.99
		

New Amazon: Too low to display




","
			7.77		",,"
			List: $49.99
		",T.I.M.E Stories,"
			18665		",1,68,"
			7.579		",-2015
68,"

			List: $59.99
		

Lowest Amazon: Too low to display


New Amazon: $38.90




","
			7.76		","
New Amazon: $38.90



","
			List: $59.99
		",Troyes,"
			14921		",1,69,"
			7.574		",-2010
69,"

New Amazon: $142.60

","
			7.79		","
Tigris & Euphrates
(1997)
","
",Russian Railroads,"
			11997		",1,70,"
			7.564		",-2013
70,"

			List: $59.95
		

Lowest Amazon: $54.95


New Amazon: $56.97




","
			7.71		","
New Amazon: $56.97



","
			List: $59.95
		",Tigris & Euphrates,"
			22976		",1,71,"
			7.560		",-1997
71,"

			List: $70.00
		

Lowest Amazon: $54.00


New Amazon: $54.16




","
			7.78		","
New Amazon: $54.16



","
			List: $70.00
		",Trajan,"
			12419		",1,72,"
			7.555		",-2011
72,"

			List: $39.99
		

Lowest Amazon: $15.00


New Amazon: $27.34

","
			7.77		","
New Amazon: $27.34
","
			List: $39.99
		",Star Wars: X-Wing Miniatures Game,"
			20635		",1,73,"
			7.553		",-2012
73,"

			List: $39.99
		

New Amazon: Too low to display




","
			7.64		","
iOS App: $4.99
","
			List: $39.99
		",Pandemic,"
			82146		",1,74,"
			7.548		",-2008
74,"

			List: $44.95
		

New Amazon: $27.99

","
			7.65		",,"
			List: $44.95
		",Dominion,"
			67604		",1,75,"
			7.546		",-2008
75,"

			List: $59.99
		

New Amazon: Too low to display




","
			7.69		",,"
			List: $59.99
		",Dead of Winter: A Crossroads Game,"
			32347		",1,76,"
			7.543		",-2014
76,"

New Amazon: $169.99




","
			7.79		","
Pandemic: Iberia
(2016)
","
",Crokinole,"
			9367		",1,77,"
			7.528		",-1876
77,"

			List: $49.99
		

New Amazon: $36.99




","
			8.00		",,"
			List: $49.99
		",Pandemic: Iberia,"
			5954		",1,78,"
			7.522		",-2016
78,"

			List: $69.99
		

New Amazon: $55.99




","
			7.75		",,"
			List: $69.99
		",Kemet,"
			13002		",1,79,"
			7.522		",-2012
79,"

			List: $55.00
		

New Amazon: $99.00

","
			8.21		",,"
			List: $55.00
		",Wingspan,"
			4224		",1,80,"
			7.519		",-2019
80,"

			List: $99.99
		

New Amazon: $80.00

","
			8.20		",,"
			List: $99.99
		",Lisboa,"
			3910		",1,81,"
			7.510		",-2017
81,"

			List: $79.95
		

Lowest Amazon: Too low to display


New Amazon: $71.73




","
			7.73		","
New Amazon: $71.73



","
			List: $79.95
		",Descent: Journeys in the Dark (Second Edition),"
			19129		",1,82,"
			7.500		",-2012
82,"

			List: $49.99
		

New Amazon: $36.45




","
			7.60		","
iOS App: $6.99
","
			List: $49.99
		",Stone Age,"
			37797		",1,83,"
			7.496		",-2008
83,"

New Amazon: $149.95

","
			7.99		","
Agricola (Revised Edition)
(2016)
","
",Forbidden Stars,"
			5953		",1,84,"
			7.495		",-2015
84,"

			List: $79.71
		

New Amazon: $47.99

","
			8.15		","
iOS App: $1.99
","
			List: $79.71
		",Agricola (Revised Edition),"
			4449		",1,85,"
			7.491		",-2016
85,"

			List: $47.48
		

New Amazon: $40.26




","
			7.70		",,"
			List: $47.48
		",Alchemists,"
			14458		",1,86,"
			7.486		",-2014
86,"

			List: $50.00
		

Lowest Amazon: $28.61


New Amazon: $36.77




","
			7.82		","
New Amazon: $36.77



","
			List: $50.00
		",Raiders of the North Sea,"
			8216		",1,87,"
			7.481		",-2015
87,"

Lowest Amazon: $40.00


New Amazon: $42.40




","
			7.92		",,"
",Yokohama,"
			5720		",1,88,"
			7.476		",-2016
88,"

			List: $89.99
		

New Amazon: $70.00




","
			7.78		",,"
			List: $89.99
		",War of the Ring (First Edition),"
			9454		",1,89,"
			7.474		",-2004
89,"

			List: $59.99
		

New Amazon: $49.45




","
			7.80		",,"
			List: $59.99
		",Legendary Encounters: An Alien Deck Building Game,"
			9104		",1,90,"
			7.473		",-2014
90,"

			List: $14.99
		

Lowest Amazon: $11.69


New Amazon: $11.99




","
			7.61		","
New Amazon: $11.99



","
			List: $14.99
		",Star Realms,"
			27929		",1,91,"
			7.473		",-2014
91,"

			List: $59.99
		

Lowest Amazon: $41.80


New Amazon: $46.29




","
			7.63		","
New Amazon: $46.29



","
			List: $59.99
		",Castles of Mad King Ludwig,"
			18616		",1,92,"
			7.469		",-2014
92,"

			List: $29.99
		

New Amazon: $25.30




","
			7.66		",,"
			List: $29.99
		",Santorini,"
			16855		",1,93,"
			7.467		",-2016
93,"

			List: $53.95
		

Lowest Amazon: Too low to display


New Amazon: $47.96




","
			7.66		","
New Amazon: $47.96



","
			List: $53.95
		",A Game of Thrones: The Board Game (Second Edition),"
			23712		",1,94,"
			7.464		",-2011
94,"

			List: $49.99
		

Lowest Amazon: $27.38


New Amazon: $33.90




","
			7.61		","
New Amazon: $33.90



","
			List: $49.99
		",Istanbul,"
			19560		",1,95,"
			7.464		",-2014
95,"

			List: $59.99
		

Lowest Amazon: $40.00


New Amazon: $44.77




","
			7.80		","
New Amazon: $44.77



","
			List: $59.99
		",Champions of Midgard,"
			8492		",1,96,"
			7.463		",-2015
96,"

			List: $19.99
		

New Amazon: $15.75




","
			7.63		",,"
			List: $19.99
		",The Resistance: Avalon,"
			22202		",1,97,"
			7.458		",-2012
97,"

Lowest Amazon: $54.00


New Amazon: $54.31




","
			7.78		",,"
",Grand Austria Hotel,"
			8142		",1,98,"
			7.453		",-2015
98,"

			List: $49.99
		

Lowest Amazon: $35.39


New Amazon: $40.16




","
			8.06		","
New Amazon: $40.16



","
			List: $49.99
		",Aeon's End,"
			4869		",1,99,"
			7.449		",-2016
99,"

New Amazon: Too low to display




","
			7.56		","
								Geekdo, BoardGameGeek, the Geekdo logo, and the BoardGameGeek logo are trademarks of BoardGameGeek, LLC.
							","
",Ticket to Ride: Europe,"
			46819		",1,100,"
			7.448		",-2005
100,"

			List: $59.99
		

Lowest Amazon: $40.39


New Amazon: $47.98




","
			7.24		","
New Amazon: $47.98



","
			List: $59.99
		",Ponzi Scheme,"
			1751		",10,901,"
			6.508		",-2015
101,,"
			7.06		",,"]
					",Löwenherz,"
			2309		",10,902,"
			6.508		",-1997
102,,"
			6.91		","

New Amazon: $28.79




","]
					",Meuterer,"
			3133		",10,903,"
			6.507		",-2000
103,"

New Amazon: $28.79




","
			7.12		","
Wyatt Earp
(2001)
","
",Ulm,"
			2071		",10,904,"
			6.507		",-2016
104,"

Lowest Amazon: $25.00


New Amazon: $89.99




","
			6.86		",,"
",Wyatt Earp,"
			3733		",10,905,"
			6.507		",-2001
105,"

			List: $36.00
		

New Amazon: $32.99

","
			8.01		",,"
			List: $36.00
		",Advanced Squad Leader: Starter Kit #3,"
			912		",10,906,"
			6.507		",-2007
106,"

Lowest Amazon: $148.00


New Amazon: $192.78

","
			7.56		",,"
",The New Era,"
			1224		",10,907,"
			6.507		",-2011
107,"

			List: $29.99
		

Lowest Amazon: $22.50


New Amazon: $33.98




","
			6.86		","
New Amazon: $33.98



","
			List: $29.99
		",The Magic Labyrinth,"
			3875		",10,908,"
			6.506		",-2009
108,"

Lowest Amazon: $99.95


New Amazon: $174.99




","
			7.24		",,"
",Murano,"
			1669		",10,909,"
			6.506		",-2014
109,"

			List: $31.99
		
","
			6.70		","
Istanbul: The Dice Game
(2017)
","
			List: $31.99
		",Cartagena,"
			7083		",10,910,"
			6.503		",-2000
110,"

New Amazon: $23.99




","
			7.20		","
Villainous
(2018)
","
",Istanbul: The Dice Game,"
			1824		",10,911,"
			6.502		",-2017
111,"

			List: $39.99
		

Lowest Amazon: $27.31


New Amazon: $29.37




","
			7.13		","
New Amazon: $29.37



","
			List: $39.99
		",Villainous,"
			2455		",10,912,"
			6.500		",-2018
112,"
","
			6.72		","
Jump Drive
(2017)
","
",The Game,"
			6215		",10,913,"
			6.499		",-2015
113,"

			List: $21.88
		

Lowest Amazon: $19.84


New Amazon: $21.86




","
			7.05		","
New Amazon: $21.86



","
			List: $21.88
		",Jump Drive,"
			2239		",10,914,"
			6.498		",-2017
114,"

			List: $29.99
		

New Amazon: $15.88

","
			7.27		",,"
			List: $29.99
		",Lovecraft Letter,"
			1675		",10,915,"
			6.498		",-2017
115,"

New Amazon: $39.99




","
			7.39		","
Room 25
(2013)
","
",Agra,"
			1409		",10,916,"
			6.497		",-2017
116,"
","
			6.79		","

			List: $14.99
		

","
														
													[",Room 25,"
			4829		",10,917,"
			6.497		",-2013
117,"

			List: $14.99
		
","
			6.60		","
Starfarers of Catan
(1999)
","
			List: $14.99
		",Saboteur,"
			20928		",10,918,"
			6.497		",-2004
118,"
","
			6.81		","

			List: $14.99
		

","
														
													[",Starfarers of Catan,"
			4708		",10,919,"
			6.497		",-1999
119,"

			List: $14.99
		
","
			6.71		","
Archaeology: The New Expedition
(2016)
","
			List: $14.99
		",Timeline: Inventions,"
			6452		",10,920,"
			6.497		",-2010
120,"

			List: $19.99
		

Lowest Amazon: $19.95


New Amazon: $23.00




","
			7.17		","
New Amazon: $23.00



","
			List: $19.99
		",Archaeology: The New Expedition,"
			1928		",10,921,"
			6.497		",-2016
121,"

Lowest Amazon: $41.34


New Amazon: $42.18




","
			7.63		",,"
",Stronghold (2nd edition),"
			1121		",10,922,"
			6.496		",-2016
122,"

			List: $74.99
		

New Amazon: $88.35

","
			6.85		",,"
			List: $74.99
		",Bausack,"
			3639		",10,923,"
			6.496		",-1987
123,"

New Amazon: $45.00

","
			7.20		","
Poker
(1810)
","
",Patchistory,"
			1820		",10,924,"
			6.496		",-2013
124,"

			List: $16.99
		

New Amazon: $16.87




","
			6.70		","
iOS App: Free
","
			List: $16.99
		",Poker,"
			7999		",10,925,"
			6.495		",-1810
125,"

			List: $59.95
		

Lowest Amazon: $45.59


New Amazon: $47.46




","
			7.06		","
New Amazon: $47.46



","
			List: $59.95
		",Fallout,"
			3239		",10,926,"
			6.494		",-2017
126,"

			List: $12.00
		

Lowest Amazon: $13.99


New Amazon: $18.91




","
			6.72		","
New Amazon: $18.91



","
			List: $12.00
		",Tides of Time,"
			5629		",10,927,"
			6.494		",-2015
127,"

			List: $28.00
		

Lowest Amazon: $19.82


New Amazon: $27.99




","
			6.94		","
New Amazon: $27.99



","
			List: $28.00
		",Gravwell: Escape from the 9th Dimension,"
			2862		",10,928,"
			6.493		",-2013
128,"
","
			6.88		",,"
														
													[",Aton,"
			3171		",10,929,"
			6.492		",-2005
129,,"
			6.92		","

			List: $39.99
		

New Amazon: $25.99

","]
					",Aladdin's Dragons,"
			2988		",10,930,"
			6.492		",-2000
130,"

			List: $39.99
		

New Amazon: $25.99

","
			6.84		",,"
			List: $39.99
		",Dice City,"
			3727		",10,931,"
			6.490		",-2015
131,"
","
			7.30		","

			List: $59.95
		

Lowest Amazon: $49.99


New Amazon: $184.99





","
														
													[",Necromunda,"
			1718		",10,932,"
			6.488		",-1995
132,"

			List: $59.95
		

Lowest Amazon: $49.99


New Amazon: $184.99




","
			6.87		","
New Amazon: $184.99



","
			List: $59.95
		",Warrior Knights,"
			3661		",10,933,"
			6.487		",-2006
133,"

New Amazon: $239.99

","
			7.82		","
Villages of Valeria
(2017)
","
",Container: 10th Anniversary Jumbo Edition!,"
			913		",10,934,"
			6.487		",-2018
134,"

Lowest Amazon: $15.00


New Amazon: $18.99




","
			7.10		",,"
",Villages of Valeria,"
			2093		",10,935,"
			6.486		",-2017
135,"

			List: $24.99
		

New Amazon: $13.99

","
			6.92		",,"
			List: $24.99
		",The Little Prince: Make Me a Planet,"
			2954		",10,936,"
			6.485		",-2013
136,"

Lowest Amazon: $119.77


New Amazon: $149.99




","
			6.98		",,"
",Kremlin,"
			2642		",10,937,"
			6.484		",-1986
137,"

Lowest Amazon: $25.00


New Amazon: $199.95




","
			6.91		",,"
",In the Shadow of the Emperor,"
			2810		",10,938,"
			6.482		",-2004
138,"

			List: $29.95
		

New Amazon: $25.23




","
			7.17		","
iOS App: $2.99
","
			List: $29.95
		",Mü & More,"
			1780		",10,939,"
			6.481		",-1995
139,"

			List: $14.99
		

New Amazon: $13.45




","
			7.14		",,"
			List: $14.99
		",Unlock! The Formula,"
			1837		",10,940,"
			6.481		",-2017
140,"

Lowest Amazon: $109.00


New Amazon: $154.70

","
			7.31		",,"
",Sword of Rome,"
			1476		",10,941,"
			6.480		",-2004
141,"

			List: $12.99
		

New Amazon: $13.50

","
			6.66		","
iOS App: Free
","
			List: $12.99
		",Spot it!,"
			9095		",10,942,"
			6.480		",-2009
142,"

			List: $14.99
		

Lowest Amazon: $7.99


New Amazon: $12.97




","
			7.00		","
New Amazon: $12.97



","
			List: $14.99
		",Pixel Tactics,"
			2572		",10,943,"
			6.480		",-2012
143,"

			List: $40.00
		

Lowest Amazon: $23.69


New Amazon: $29.29




","
			6.93		","
New Amazon: $29.29



","
			List: $40.00
		",Escape from the Aliens in Outer Space,"
			2859		",10,944,"
			6.479		",-2010
144,"
","
			6.78		","

			List: $41.82
		

Lowest Amazon: $39.20


New Amazon: $41.81





","
														
													[",Roma,"
			4262		",10,945,"
			6.479		",-2005
145,"

			List: $41.82
		

Lowest Amazon: $39.20


New Amazon: $41.81




","
			8.00		","
New Amazon: $41.81



","
			List: $41.82
		",War Chest,"
			865		",10,946,"
			6.478		",-2018
146,"

			List: $19.99
		

New Amazon: $15.99




","
			7.36		",,"
			List: $19.99
		",Valley of the Kings: Afterlife,"
			1394		",10,947,"
			6.478		",-2015
147,"
","
			7.00		","

Lowest Amazon: $15.99


New Amazon: $22.98





","
														
													[",The Scepter of Zavandor,"
			2429		",10,948,"
			6.477		",-2004
148,"

Lowest Amazon: $15.99


New Amazon: $22.98




","
			7.22		",,"
",Doomtown: Reloaded,"
			1975		",10,949,"
			6.477		",-2014
149,"

			List: $17.99
		

Lowest Amazon: $13.69


New Amazon: $18.95




","
			6.73		","
New Amazon: $18.95



","
			List: $17.99
		",Ghost Blitz,"
			5389		",10,950,"
			6.476		",-2010
150,"

New Amazon: $32.99

","
			7.38		","
Blackout: Hong Kong
(2018)
","
",Deep Space D-6,"
			1467		",10,951,"
			6.475		",-2015
151,"

			List: $69.99
		

New Amazon: $67.96




","
			7.60		",,"
			List: $69.99
		",Blackout: Hong Kong,"
			1087		",10,952,"
			6.475		",-2018
152,"

New Amazon: $13.89

","
			7.39		",,"
",Ascension: Immortal Heroes,"
			1385		",10,953,"
			6.475		",-2012
153,"

New Amazon: $199.99

","
			7.52		","
TransAmerica
(2001)
","
",1856: Railroading in Upper Canada from 1856,"
			1141		",10,954,"
			6.475		",-1995
154,"

			List: $30.12
		

Lowest Amazon: $25.00


New Amazon: $29.48




","
			6.66		","
New Amazon: $29.48



","
			List: $30.12
		",TransAmerica,"
			7256		",10,955,"
			6.474		",-2001
155,"

			List: $69.99
		

Lowest Amazon: $150.00


New Amazon: $184.99




","
			7.34		","
New Amazon: $184.99



","
			List: $69.99
		",Wars of the Roses: Lancaster vs. York,"
			1403		",10,956,"
			6.474		",-2010
156,"

New Amazon: $225.00




","
			8.18		","
Time of Crisis: The Roman Empire in Turmoil, 235-284 AD
(2017)
","
",Codex: Card-Time Strategy – Deluxe Set,"
			832		",10,957,"
			6.474		",-2016
157,"

New Amazon: $78.99

","
			7.67		","
Factory Fun
(2006)
","
","Time of Crisis: The Roman Empire in Turmoil, 235-284 AD","
			1045		",10,958,"
			6.473		",-2017
