,all_prices,avg_rating,ios_prices,list_price,name,num_voters,page_no,rank,rating,year
1784,"

Used Amazon: $53.99

","
			5.28		","
Blow Football
(1910)
","
",Imperium: 3rd Millennium,"
			145		",160,15907,"
			5.463		",-2001
1785,"

			List: $9.99
		

Lowest Amazon: $17.00


New Amazon: $25.94

","
			5.42		","
New Amazon: $25.94
","
			List: $9.99
		",UNO Stacko,"
			490		",160,15909,"
			5.463		",-1994
1786,"

			List: $15.00
		

Lowest Amazon: $8.99


New Amazon: $15.00




","
			5.44		","
New Amazon: $15.00



","
			List: $15.00
		",Alibi,"
			655		",160,15910,"
			5.463		",-1993
1787,"

			List: $21.99
		

Lowest Amazon: $12.99


New Amazon: $39.93




","
			4.95		","
New Amazon: $39.93



","
			List: $21.99
		",Jenga Max,"
			85		",160,15926,"
			5.463		",-2009
1788,,"
			4.88		","
Ali Baba
(2002)
","]
					",The Witches of Blackmore,"
			84		",160,15937,"
			5.462		",-2012
1789,,"
			5.42		","
Lis Pustyni
(2007)
","]
					",Poleconomy,"
			376		",160,15945,"
			5.462		",-1977
1790,"

Lowest Amazon: $106.99


New Amazon: $174.90




","
			5.53		",,"
",Atmosfear: The DVD Board Game,"
			747		",160,15948,"
			5.462		",-2003
1791,,"
			4.79		","
Echelons of Fury
(1995)
","]
					",Mystery Date,"
			63		",160,15960,"
			5.462		",-1965
1792,"

			List: $19.99
		

Lowest Amazon: $9.99


New Amazon: $15.99




","
			5.06		","
New Amazon: $15.99



","
			List: $19.99
		",Watch Ya' Mouth,"
			116		",160,15966,"
			5.461		",-2016
1793,"

			List: $49.99
		

New Amazon: $53.00

","
			4.46		",,"
			List: $49.99
		",Downton Abbey: The Board Game,"
			40		",160,15981,"
			5.461		",-2013
