,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
5680,Shadow Throne,5.65,6.67,2014.00,5114.00,52.00,201.00,25.00,,List: $25.00New Amazon: $18.95
5681,Burn Rate,5.65,6.04,2002.00,5116.00,52.00,590.00,,Hyle(1979),
5682,Hyle,5.65,6.77,1979.00,5118.00,52.00,170.00,,RRR(2010),
5683,Anno 1701: Das Kartenspiel,5.65,6.36,2007.00,5121.00,52.00,257.00,,,
5684,Warhammer Ancient Battles,5.65,6.66,1998.00,5122.00,52.00,210.00,,,
5685,'65: Squad-Level Combat in the Jungles of Vietnam,5.65,7.61,2016.00,5123.00,52.00,107.00,,Cape Horn(1999),
5686,Cape Horn,5.65,6.02,1999.00,5125.00,52.00,521.00,,Omen: Edge of the Aegean(2016),New Amazon: $27.99
5687,Omen: Edge of the Aegean,5.65,7.57,2016.00,5126.00,52.00,100.00,,New Amazon: $24.59,
5688,Ka-Boom,5.65,6.27,2013.00,5127.00,52.00,298.00,,Swinging Jivecat Voodoo Lounge(2016),New Amazon: $24.59
5689,Swinging Jivecat Voodoo Lounge,5.65,6.62,2016.00,5128.00,52.00,187.00,,,
5690,Epaminondas,5.65,7.19,1975.00,5129.00,52.00,122.00,,,
5691,Field of Glory,5.65,6.71,2008.00,5130.00,52.00,180.00,,,
5692,Black Rose Wars,5.65,8.50,2019.00,5131.00,52.00,213.00,,,
5693,Tonkin: The First Indochina War (second edition),5.65,7.76,2012.00,5132.00,52.00,105.00,,Two by Two(2010),
5694,Two by Two,5.65,6.06,2010.00,5134.00,52.00,443.00,39.95,New Amazon: $20.89,List: $39.95Lowest Amazon: $16.20New Amazon: $20.89
5695,Stellium,5.65,6.76,2017.00,5136.00,52.00,185.00,,"Smash Up: Oops, You Did It Again(2018)",New Amazon: $25.19
5696,Fleet Commander: Nimitz,5.65,6.94,2014.00,5138.00,52.00,182.00,87.75,,List: $87.75New Amazon: $69.99
5697,The Daedalus Sentence,5.65,6.66,2016.00,5139.00,52.00,200.00,,Mixmo(2009),New Amazon: $109.99
5698,The Pirate Republic,5.65,7.68,2018.00,5143.00,52.00,126.00,,Entrapment(1999),New Amazon: $38.99
5699,Entrapment,5.65,7.99,1999.00,5144.00,52.00,100.00,,New Amazon: $35.99,
