,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
0,Gloomhaven,8.61,8.91,2017.00,1.00,1.00,23974.00,140.00,New Amazon: $109.98,List: $140.00Lowest Amazon: $94.01New Amazon: $109.98
1,Pandemic Legacy: Season 1,8.49,8.65,2015.00,2.00,1.00,30607.00,69.99,,List: $69.99New Amazon: Too low to display
2,Through the Ages: A New Story of Civilization,8.26,8.54,2015.00,3.00,1.00,15336.00,69.95,iOS App: $9.99,List: $69.95New Amazon: $45.68
3,Terraforming Mars,8.24,8.40,2016.00,4.00,1.00,37413.00,69.95,New Amazon: $44.87,List: $69.95Lowest Amazon: $38.78New Amazon: $44.87
4,Twilight Struggle,8.18,8.33,2005.00,5.00,1.00,34009.00,64.99,iOS App: $6.99,List: $64.99New Amazon: $32.74
5,Star Wars: Rebellion,8.16,8.45,2016.00,6.00,1.00,16246.00,99.95,New Amazon: $84.19,List: $99.95Lowest Amazon: Too low to displayNew Amazon: $84.19
6,Gaia Project,8.13,8.56,2017.00,7.00,1.00,8837.00,83.97,,List: $83.97New Amazon: $79.99
7,Scythe,8.12,8.29,2016.00,8.00,1.00,38479.00,90.00,New Amazon: $58.50,List: $90.00Lowest Amazon: Too low to displayNew Amazon: $58.50
8,Great Western Trail,8.08,8.29,2016.00,9.00,1.00,18612.00,69.95,,List: $69.95New Amazon: $55.95
9,Twilight Imperium (Fourth Edition),8.06,8.74,2017.00,10.00,1.00,6248.00,149.95,,List: $149.95New Amazon: $119.96
10,Terra Mystica,8.05,8.20,2012.00,11.00,1.00,32255.00,79.99,iOS App: $9.99,List: $79.99New Amazon: $51.25
11,War of the Ring (Second Edition),8.03,8.42,2012.00,12.00,1.00,9640.00,89.99,,List: $89.99New Amazon: $70.00
12,The Castles of Burgundy,8.01,8.13,2011.00,13.00,1.00,36129.00,41.99,New Amazon: $34.73,List: $41.99Lowest Amazon: $32.05New Amazon: $34.73
13,7 Wonders Duel,7.99,8.13,2015.00,14.00,1.00,39700.00,29.99,New Amazon: $26.99,List: $29.99Lowest Amazon: $21.37New Amazon: $26.99
14,Spirit Island,7.99,8.39,2017.00,15.00,1.00,10155.00,79.95,New Amazon: $57.12,List: $79.95Lowest Amazon: $51.22New Amazon: $57.12
15,Brass: Birmingham,7.97,8.63,2018.00,16.00,1.00,5090.00,59.00,The 7th Continent(2017),List: $59.00
16,The 7th Continent,7.94,8.44,2017.00,17.00,1.00,8724.00,,List: $60.00Lowest Amazon: Too low to displayNew Amazon: $44.63,
17,Viticulture Essential Edition,7.93,8.15,2015.00,18.00,1.00,16903.00,60.00,New Amazon: $44.63,List: $60.00Lowest Amazon: Too low to displayNew Amazon: $44.63
18,Concordia,7.93,8.10,2013.00,19.00,1.00,19388.00,64.99,,List: $64.99New Amazon: $44.93
19,Puerto Rico,7.92,8.04,2002.00,20.00,1.00,55980.00,44.99,New Amazon: $28.48,List: $44.99Lowest Amazon: $25.96New Amazon: $28.48
20,Arkham Horror: The Card Game,7.92,8.23,2016.00,21.00,1.00,16913.00,39.95,New Amazon: $31.80,List: $39.95Lowest Amazon: Too low to displayNew Amazon: $31.80
21,Caverna: The Cave Farmers,7.91,8.08,2013.00,22.00,1.00,23374.00,97.00,New Amazon: $77.98,List: $97.00Lowest Amazon: $71.99New Amazon: $77.98
22,Brass: Lancashire,7.91,8.12,2007.00,23.00,1.00,14786.00,59.99,iOS App: $5.99,List: $59.99New Amazon: $59.95
23,Mage Knight Board Game,7.89,8.10,2011.00,24.00,1.00,23262.00,124.99,New Amazon: $97.99,List: $124.99Lowest Amazon: $94.54New Amazon: $97.99
24,Agricola,7.89,7.99,2007.00,25.00,1.00,56568.00,79.71,iOS App: $1.99,List: $79.71New Amazon: $47.99
25,Mansions of Madness: Second Edition,7.88,8.16,2016.00,26.00,1.00,16143.00,99.95,New Amazon: $89.95,List: $99.95Lowest Amazon: $78.52New Amazon: $89.95
26,Orléans,7.88,8.08,2014.00,27.00,1.00,15560.00,59.99,,List: $59.99New Amazon: $47.00
27,A Feast for Odin,7.86,8.18,2016.00,28.00,1.00,10796.00,99.99,New Amazon: $83.00,List: $99.99Lowest Amazon: Too low to displayNew Amazon: $83.00
28,Food Chain Magnate,7.85,8.19,2015.00,29.00,1.00,9429.00,,Blood Rage(2015),New Amazon: $101.24
29,Blood Rage,7.85,8.03,2015.00,30.00,1.00,25083.00,79.99,,List: $79.99New Amazon: $62.97
30,Mechs vs. Minions,7.82,8.14,2016.00,31.00,1.00,10984.00,,,Lowest Amazon: $104.99New Amazon: $147.77
31,Pandemic Legacy: Season 2,7.81,8.27,2017.00,32.00,1.00,6907.00,79.99,New Amazon: $63.84,List: $79.99Lowest Amazon: Too low to displayNew Amazon: $63.84
32,Kingdom Death: Monster,7.81,8.81,2015.00,33.00,1.00,5748.00,,List: $99.99New Amazon: $79.96,
33,Star Wars: Imperial Assault,7.81,8.08,2014.00,34.00,1.00,16369.00,99.99,iOS App: Free,List: $99.99New Amazon: $79.96
34,Through the Ages: A Story of Civilization,7.80,7.99,2006.00,35.00,1.00,16833.00,69.99,New Amazon: $99.99,List: $69.99Lowest Amazon: $30.00New Amazon: $99.99
35,Power Grid,7.80,7.89,2004.00,36.00,1.00,49560.00,44.99,,List: $44.99New Amazon: $49.95
36,Azul,7.79,7.94,2017.00,37.00,1.00,26300.00,39.99,,List: $39.99New Amazon: $22.85
37,Tzolk'in: The Mayan Calendar,7.78,7.93,2012.00,38.00,1.00,24137.00,59.95,New Amazon: $48.91,List: $59.95Lowest Amazon: $35.99New Amazon: $48.91
38,Eclipse,7.78,7.95,2011.00,39.00,1.00,23869.00,99.00,,List: $99.00New Amazon: $168.59
39,Le Havre,7.76,7.89,2008.00,40.00,1.00,22892.00,70.00,New Amazon: $59.94,List: $70.00Lowest Amazon: $49.99New Amazon: $59.94
40,Robinson Crusoe: Adventures on the Cursed Island,7.75,7.91,2012.00,41.00,1.00,26336.00,65.00,,List: $65.00New Amazon: $45.00
41,The Voyages of Marco Polo,7.73,7.94,2015.00,42.00,1.00,15143.00,59.99,,List: $59.99New Amazon: $47.99
42,Clans of Caledonia,7.71,8.07,2017.00,43.00,1.00,8619.00,69.99,New Amazon: $45.80,List: $69.99Lowest Amazon: Too low to displayNew Amazon: $45.80
43,Android: Netrunner,7.71,7.90,2012.00,44.00,1.00,24150.00,39.95,,List: $39.95New Amazon: $89.94
44,7 Wonders,7.69,7.78,2010.00,45.00,1.00,68102.00,49.99,iOS App: $4.99,List: $49.99New Amazon: Too low to display
45,Keyflower,7.68,7.86,2012.00,46.00,1.00,15728.00,,Race for the Galaxy(2007),New Amazon: $47.48
46,Race for the Galaxy,7.66,7.76,2007.00,47.00,1.00,40281.00,34.99,iOS App: $6.99,List: $34.99New Amazon: $30.68
47,Caylus,7.66,7.81,2005.00,48.00,1.00,24501.00,54.99,New Amazon: $41.61,List: $54.99Lowest Amazon: $33.99New Amazon: $41.61
48,Dominant Species,7.66,7.85,2010.00,49.00,1.00,15548.00,79.99,New Amazon: $60.99,List: $79.99Lowest Amazon: $50.00New Amazon: $60.99
49,Fields of Arle,7.65,8.14,2014.00,50.00,1.00,5662.00,79.99,New Amazon: $63.99,List: $79.99Lowest Amazon: $58.95New Amazon: $63.99
50,Lords of Waterdeep,7.65,7.77,2012.00,51.00,1.00,38127.00,49.99,iOS App: $6.99,List: $49.99New Amazon: $35.42
51,Rising Sun,7.65,8.02,2018.00,52.00,1.00,10180.00,99.99,New Amazon: $72.94,List: $99.99Lowest Amazon: $66.99New Amazon: $72.94
52,Anachrony,7.64,8.12,2017.00,53.00,1.00,6626.00,65.00,New Amazon: $79.99,List: $65.00Lowest Amazon: $72.95New Amazon: $79.99
53,Twilight Imperium (Third Edition),7.64,7.87,2005.00,54.00,1.00,17169.00,89.95,New Amazon: $99.97,List: $89.95Lowest Amazon: $98.95New Amazon: $99.97
54,Five Tribes,7.64,7.78,2014.00,55.00,1.00,25337.00,59.99,New Amazon: $40.05,List: $59.99Lowest Amazon: Too low to displayNew Amazon: $40.05
55,Eldritch Horror,7.64,7.86,2013.00,56.00,1.00,23297.00,59.99,New Amazon: $47.96,List: $59.99Lowest Amazon: $42.18New Amazon: $47.96
56,El Grande,7.63,7.78,1995.00,57.00,1.00,21071.00,99.99,New Amazon: $48.59,List: $99.99Lowest Amazon: Too low to displayNew Amazon: $48.59
57,Codenames,7.63,7.72,2015.00,58.00,1.00,49966.00,19.95,New Amazon: $16.97,List: $19.95Lowest Amazon: $14.29New Amazon: $16.97
58,Clank!: A Deck-Building Adventure,7.62,7.82,2016.00,59.00,1.00,16478.00,60.00,,List: $60.00New Amazon: $42.06
59,Dominion: Intrigue,7.61,7.74,2009.00,60.00,1.00,26907.00,39.95,,List: $39.95New Amazon: $24.97
60,Root,7.61,8.10,2018.00,61.00,1.00,6357.00,60.00,New Amazon: $46.84,List: $60.00Lowest Amazon: $44.99New Amazon: $46.84
61,Patchwork,7.60,7.72,2014.00,62.00,1.00,32819.00,27.99,iOS App: $3.99,List: $27.99New Amazon: $23.99
62,The Gallerist,7.60,8.02,2015.00,63.00,1.00,6609.00,79.99,,List: $79.99New Amazon: $99.98
63,Mombasa,7.60,7.93,2015.00,64.00,1.00,8454.00,44.99,,List: $44.99New Amazon: $44.99
64,Battlestar Galactica: The Board Game,7.59,7.74,2008.00,65.00,1.00,29601.00,49.95,New Amazon: $272.24,List: $49.95Lowest Amazon: $175.96New Amazon: $272.24
65,Roll for the Galaxy,7.59,7.73,2014.00,66.00,1.00,21110.00,,,Lowest Amazon: $30.23New Amazon: $42.55
66,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.58,7.81,1981.00,67.00,1.00,13287.00,49.99,,List: $49.99New Amazon: $32.49
67,T.I.M.E Stories,7.58,7.77,2015.00,68.00,1.00,18665.00,49.99,,List: $49.99New Amazon: Too low to display
68,Troyes,7.57,7.76,2010.00,69.00,1.00,14921.00,59.99,New Amazon: $38.90,List: $59.99Lowest Amazon: Too low to displayNew Amazon: $38.90
69,Russian Railroads,7.56,7.79,2013.00,70.00,1.00,11997.00,,Tigris & Euphrates(1997),New Amazon: $142.60
70,Tigris & Euphrates,7.56,7.71,1997.00,71.00,1.00,22976.00,59.95,New Amazon: $56.97,List: $59.95Lowest Amazon: $54.95New Amazon: $56.97
71,Trajan,7.56,7.78,2011.00,72.00,1.00,12419.00,70.00,New Amazon: $54.16,List: $70.00Lowest Amazon: $54.00New Amazon: $54.16
72,Star Wars: X-Wing Miniatures Game,7.55,7.77,2012.00,73.00,1.00,20635.00,39.99,New Amazon: $27.34,List: $39.99Lowest Amazon: $15.00New Amazon: $27.34
73,Pandemic,7.55,7.64,2008.00,74.00,1.00,82146.00,39.99,iOS App: $4.99,List: $39.99New Amazon: Too low to display
74,Dominion,7.55,7.65,2008.00,75.00,1.00,67604.00,44.95,,List: $44.95New Amazon: $27.99
75,Dead of Winter: A Crossroads Game,7.54,7.69,2014.00,76.00,1.00,32347.00,59.99,,List: $59.99New Amazon: Too low to display
76,Crokinole,7.53,7.79,1876.00,77.00,1.00,9367.00,,Pandemic: Iberia(2016),New Amazon: $169.99
77,Pandemic: Iberia,7.52,8.00,2016.00,78.00,1.00,5954.00,49.99,,List: $49.99New Amazon: $36.99
78,Kemet,7.52,7.75,2012.00,79.00,1.00,13002.00,69.99,,List: $69.99New Amazon: $55.99
79,Wingspan,7.52,8.21,2019.00,80.00,1.00,4224.00,55.00,,List: $55.00New Amazon: $99.00
80,Lisboa,7.51,8.20,2017.00,81.00,1.00,3910.00,99.99,,List: $99.99New Amazon: $80.00
81,Descent: Journeys in the Dark (Second Edition),7.50,7.73,2012.00,82.00,1.00,19129.00,79.95,New Amazon: $71.73,List: $79.95Lowest Amazon: Too low to displayNew Amazon: $71.73
82,Stone Age,7.50,7.60,2008.00,83.00,1.00,37797.00,49.99,iOS App: $6.99,List: $49.99New Amazon: $36.45
83,Forbidden Stars,7.50,7.99,2015.00,84.00,1.00,5953.00,,Agricola (Revised Edition)(2016),New Amazon: $149.95
84,Agricola (Revised Edition),7.49,8.15,2016.00,85.00,1.00,4449.00,79.71,iOS App: $1.99,List: $79.71New Amazon: $47.99
85,Alchemists,7.49,7.70,2014.00,86.00,1.00,14458.00,47.48,,List: $47.48New Amazon: $40.26
86,Raiders of the North Sea,7.48,7.82,2015.00,87.00,1.00,8216.00,50.00,New Amazon: $36.77,List: $50.00Lowest Amazon: $28.61New Amazon: $36.77
87,Yokohama,7.48,7.92,2016.00,88.00,1.00,5720.00,,,Lowest Amazon: $40.00New Amazon: $42.40
88,War of the Ring (First Edition),7.47,7.78,2004.00,89.00,1.00,9454.00,89.99,,List: $89.99New Amazon: $70.00
89,Legendary Encounters: An Alien Deck Building Game,7.47,7.80,2014.00,90.00,1.00,9104.00,59.99,,List: $59.99New Amazon: $49.45
90,Star Realms,7.47,7.61,2014.00,91.00,1.00,27929.00,14.99,New Amazon: $11.99,List: $14.99Lowest Amazon: $11.69New Amazon: $11.99
91,Castles of Mad King Ludwig,7.47,7.63,2014.00,92.00,1.00,18616.00,59.99,New Amazon: $46.29,List: $59.99Lowest Amazon: $41.80New Amazon: $46.29
92,Santorini,7.47,7.66,2016.00,93.00,1.00,16855.00,29.99,,List: $29.99New Amazon: $25.30
93,A Game of Thrones: The Board Game (Second Edition),7.46,7.66,2011.00,94.00,1.00,23712.00,53.95,New Amazon: $47.96,List: $53.95Lowest Amazon: Too low to displayNew Amazon: $47.96
94,Istanbul,7.46,7.61,2014.00,95.00,1.00,19560.00,49.99,New Amazon: $33.90,List: $49.99Lowest Amazon: $27.38New Amazon: $33.90
95,Champions of Midgard,7.46,7.80,2015.00,96.00,1.00,8492.00,59.99,New Amazon: $44.77,List: $59.99Lowest Amazon: $40.00New Amazon: $44.77
96,The Resistance: Avalon,7.46,7.63,2012.00,97.00,1.00,22202.00,19.99,,List: $19.99New Amazon: $15.75
97,Grand Austria Hotel,7.45,7.78,2015.00,98.00,1.00,8142.00,,,Lowest Amazon: $54.00New Amazon: $54.31
98,Aeon's End,7.45,8.06,2016.00,99.00,1.00,4869.00,49.99,New Amazon: $40.16,List: $49.99Lowest Amazon: $35.39New Amazon: $40.16
99,Ticket to Ride: Europe,7.45,7.56,2005.00,100.00,1.00,46819.00,,"Geekdo, BoardGameGeek, the Geekdo logo, and the BoardGameGeek logo are trademarks of BoardGameGeek, LLC.",New Amazon: Too low to display
100,Ponzi Scheme,6.51,7.24,2015.00,901.00,10.00,1751.00,59.99,New Amazon: $47.98,List: $59.99Lowest Amazon: $40.39New Amazon: $47.98
101,Löwenherz,6.51,7.06,1997.00,902.00,10.00,2309.00,,,
102,Meuterer,6.51,6.91,2000.00,903.00,10.00,3133.00,,New Amazon: $28.79,
103,Ulm,6.51,7.12,2016.00,904.00,10.00,2071.00,,Wyatt Earp(2001),New Amazon: $28.79
104,Wyatt Earp,6.51,6.86,2001.00,905.00,10.00,3733.00,,,Lowest Amazon: $25.00New Amazon: $89.99
105,Advanced Squad Leader: Starter Kit #3,6.51,8.01,2007.00,906.00,10.00,912.00,36.00,,List: $36.00New Amazon: $32.99
106,The New Era,6.51,7.56,2011.00,907.00,10.00,1224.00,,,Lowest Amazon: $148.00New Amazon: $192.78
107,The Magic Labyrinth,6.51,6.86,2009.00,908.00,10.00,3875.00,29.99,New Amazon: $33.98,List: $29.99Lowest Amazon: $22.50New Amazon: $33.98
108,Murano,6.51,7.24,2014.00,909.00,10.00,1669.00,,,Lowest Amazon: $99.95New Amazon: $174.99
109,Cartagena,6.50,6.70,2000.00,910.00,10.00,7083.00,31.99,Istanbul: The Dice Game(2017),List: $31.99
110,Istanbul: The Dice Game,6.50,7.20,2017.00,911.00,10.00,1824.00,,Villainous(2018),New Amazon: $23.99
111,Villainous,6.50,7.13,2018.00,912.00,10.00,2455.00,39.99,New Amazon: $29.37,List: $39.99Lowest Amazon: $27.31New Amazon: $29.37
112,The Game,6.50,6.72,2015.00,913.00,10.00,6215.00,,Jump Drive(2017),
113,Jump Drive,6.50,7.05,2017.00,914.00,10.00,2239.00,21.88,New Amazon: $21.86,List: $21.88Lowest Amazon: $19.84New Amazon: $21.86
114,Lovecraft Letter,6.50,7.27,2017.00,915.00,10.00,1675.00,29.99,,List: $29.99New Amazon: $15.88
115,Agra,6.50,7.39,2017.00,916.00,10.00,1409.00,,Room 25(2013),New Amazon: $39.99
116,Room 25,6.50,6.79,2013.00,917.00,10.00,4829.00,,List: $14.99,
117,Saboteur,6.50,6.60,2004.00,918.00,10.00,20928.00,14.99,Starfarers of Catan(1999),List: $14.99
118,Starfarers of Catan,6.50,6.81,1999.00,919.00,10.00,4708.00,,List: $14.99,
119,Timeline: Inventions,6.50,6.71,2010.00,920.00,10.00,6452.00,14.99,Archaeology: The New Expedition(2016),List: $14.99
120,Archaeology: The New Expedition,6.50,7.17,2016.00,921.00,10.00,1928.00,19.99,New Amazon: $23.00,List: $19.99Lowest Amazon: $19.95New Amazon: $23.00
121,Stronghold (2nd edition),6.50,7.63,2016.00,922.00,10.00,1121.00,,,Lowest Amazon: $41.34New Amazon: $42.18
122,Bausack,6.50,6.85,1987.00,923.00,10.00,3639.00,74.99,,List: $74.99New Amazon: $88.35
123,Patchistory,6.50,7.20,2013.00,924.00,10.00,1820.00,,Poker(1810),New Amazon: $45.00
124,Poker,6.50,6.70,1810.00,925.00,10.00,7999.00,16.99,iOS App: Free,List: $16.99New Amazon: $16.87
125,Fallout,6.49,7.06,2017.00,926.00,10.00,3239.00,59.95,New Amazon: $47.46,List: $59.95Lowest Amazon: $45.59New Amazon: $47.46
126,Tides of Time,6.49,6.72,2015.00,927.00,10.00,5629.00,12.00,New Amazon: $18.91,List: $12.00Lowest Amazon: $13.99New Amazon: $18.91
127,Gravwell: Escape from the 9th Dimension,6.49,6.94,2013.00,928.00,10.00,2862.00,28.00,New Amazon: $27.99,List: $28.00Lowest Amazon: $19.82New Amazon: $27.99
128,Aton,6.49,6.88,2005.00,929.00,10.00,3171.00,,,
129,Aladdin's Dragons,6.49,6.92,2000.00,930.00,10.00,2988.00,,List: $39.99New Amazon: $25.99,
130,Dice City,6.49,6.84,2015.00,931.00,10.00,3727.00,39.99,,List: $39.99New Amazon: $25.99
131,Necromunda,6.49,7.30,1995.00,932.00,10.00,1718.00,,List: $59.95Lowest Amazon: $49.99New Amazon: $184.99,
132,Warrior Knights,6.49,6.87,2006.00,933.00,10.00,3661.00,59.95,New Amazon: $184.99,List: $59.95Lowest Amazon: $49.99New Amazon: $184.99
133,Container: 10th Anniversary Jumbo Edition!,6.49,7.82,2018.00,934.00,10.00,913.00,,Villages of Valeria(2017),New Amazon: $239.99
134,Villages of Valeria,6.49,7.10,2017.00,935.00,10.00,2093.00,,,Lowest Amazon: $15.00New Amazon: $18.99
135,The Little Prince: Make Me a Planet,6.49,6.92,2013.00,936.00,10.00,2954.00,24.99,,List: $24.99New Amazon: $13.99
136,Kremlin,6.48,6.98,1986.00,937.00,10.00,2642.00,,,Lowest Amazon: $119.77New Amazon: $149.99
137,In the Shadow of the Emperor,6.48,6.91,2004.00,938.00,10.00,2810.00,,,Lowest Amazon: $25.00New Amazon: $199.95
138,Mü & More,6.48,7.17,1995.00,939.00,10.00,1780.00,29.95,iOS App: $2.99,List: $29.95New Amazon: $25.23
139,Unlock! The Formula,6.48,7.14,2017.00,940.00,10.00,1837.00,14.99,,List: $14.99New Amazon: $13.45
140,Sword of Rome,6.48,7.31,2004.00,941.00,10.00,1476.00,,,Lowest Amazon: $109.00New Amazon: $154.70
141,Spot it!,6.48,6.66,2009.00,942.00,10.00,9095.00,12.99,iOS App: Free,List: $12.99New Amazon: $13.50
142,Pixel Tactics,6.48,7.00,2012.00,943.00,10.00,2572.00,14.99,New Amazon: $12.97,List: $14.99Lowest Amazon: $7.99New Amazon: $12.97
143,Escape from the Aliens in Outer Space,6.48,6.93,2010.00,944.00,10.00,2859.00,40.00,New Amazon: $29.29,List: $40.00Lowest Amazon: $23.69New Amazon: $29.29
144,Roma,6.48,6.78,2005.00,945.00,10.00,4262.00,,List: $41.82Lowest Amazon: $39.20New Amazon: $41.81,
145,War Chest,6.48,8.00,2018.00,946.00,10.00,865.00,41.82,New Amazon: $41.81,List: $41.82Lowest Amazon: $39.20New Amazon: $41.81
146,Valley of the Kings: Afterlife,6.48,7.36,2015.00,947.00,10.00,1394.00,19.99,,List: $19.99New Amazon: $15.99
147,The Scepter of Zavandor,6.48,7.00,2004.00,948.00,10.00,2429.00,,Lowest Amazon: $15.99New Amazon: $22.98,
148,Doomtown: Reloaded,6.48,7.22,2014.00,949.00,10.00,1975.00,,,Lowest Amazon: $15.99New Amazon: $22.98
149,Ghost Blitz,6.48,6.73,2010.00,950.00,10.00,5389.00,17.99,New Amazon: $18.95,List: $17.99Lowest Amazon: $13.69New Amazon: $18.95
150,Deep Space D-6,6.48,7.38,2015.00,951.00,10.00,1467.00,,Blackout: Hong Kong(2018),New Amazon: $32.99
151,Blackout: Hong Kong,6.48,7.60,2018.00,952.00,10.00,1087.00,69.99,,List: $69.99New Amazon: $67.96
152,Ascension: Immortal Heroes,6.48,7.39,2012.00,953.00,10.00,1385.00,,,New Amazon: $13.89
153,1856: Railroading in Upper Canada from 1856,6.48,7.52,1995.00,954.00,10.00,1141.00,,TransAmerica(2001),New Amazon: $199.99
154,TransAmerica,6.47,6.66,2001.00,955.00,10.00,7256.00,30.12,New Amazon: $29.48,List: $30.12Lowest Amazon: $25.00New Amazon: $29.48
155,Wars of the Roses: Lancaster vs. York,6.47,7.34,2010.00,956.00,10.00,1403.00,69.99,New Amazon: $184.99,List: $69.99Lowest Amazon: $150.00New Amazon: $184.99
156,Codex: Card-Time Strategy – Deluxe Set,6.47,8.18,2016.00,957.00,10.00,832.00,,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD(2017)",New Amazon: $225.00
157,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",6.47,7.67,2017.00,958.00,10.00,1045.00,,Factory Fun(2006),New Amazon: $78.99
158,Factory Fun,6.47,6.83,2006.00,959.00,10.00,3327.00,49.99,New Amazon: $159.99,List: $49.99Lowest Amazon: $75.00New Amazon: $159.99
159,City of Iron,6.47,7.26,2013.00,960.00,10.00,1565.00,,,Lowest Amazon: $25.00New Amazon: $149.00
160,Medina (second edition),6.47,7.29,2014.00,961.00,10.00,1463.00,59.99,,List: $59.99New Amazon: $49.95
161,Dead Man's Draw,6.47,6.86,2015.00,962.00,10.00,3540.00,,iOS App: Free,Lowest Amazon: $12.01New Amazon: $16.00
162,Rune Age,6.47,6.82,2011.00,963.00,10.00,3953.00,29.99,,List: $29.99New Amazon: $47.95
163,The Captain Is Dead,6.47,7.26,2014.00,964.00,10.00,1728.00,49.99,New Amazon: $37.76,List: $49.99Lowest Amazon: $29.99New Amazon: $37.76
164,Mascarade,6.47,6.66,2013.00,965.00,10.00,7867.00,24.99,,List: $24.99New Amazon: $19.99
165,Aquaretto,6.47,7.00,2008.00,966.00,10.00,2367.00,,Fireball Island: The Curse of Vul-Kar(2018),Used Amazon: $49.99
166,Fireball Island: The Curse of Vul-Kar,6.47,7.28,2018.00,967.00,10.00,1860.00,65.61,New Amazon: $59.47,List: $65.61Lowest Amazon: Too low to displayNew Amazon: $59.47
167,Blue Moon,6.47,6.71,2004.00,968.00,10.00,5266.00,27.99,,List: $27.99New Amazon: $84.99
168,D-Day Dice,6.47,6.85,2012.00,969.00,10.00,3237.00,39.95,,List: $39.95New Amazon: $179.99
169,DC Comics Dice Masters: Justice League,6.47,7.45,2015.00,970.00,10.00,1258.00,,Kahuna(1998),New Amazon: $9.95
170,Kahuna,6.47,6.65,1998.00,971.00,10.00,7223.00,,,Used Amazon: $20.00
171,Blokus 3D,6.47,6.80,2003.00,972.00,10.00,3671.00,24.99,New Amazon: $124.99,List: $24.99Lowest Amazon: $44.50New Amazon: $124.99
172,Galaxy Defenders,6.47,7.46,2014.00,973.00,10.00,1370.00,102.99,,List: $102.99New Amazon: $66.86
173,Power Grid: The First Sparks,6.47,6.84,2011.00,974.00,10.00,3243.00,44.99,New Amazon: $37.85,List: $44.99Lowest Amazon: $30.00New Amazon: $37.85
174,Star Realms: Frontiers,6.47,8.13,2018.00,975.00,10.00,783.00,19.80,,List: $19.80New Amazon: $15.25
175,Ingenious: Travel Edition,6.47,7.11,2006.00,976.00,10.00,1842.00,,Fearsome Floors(2003),New Amazon: $99.99
176,Fearsome Floors,6.47,6.66,2003.00,977.00,10.00,6881.00,39.99,,List: $39.99Used Amazon: $35.75
177,Haspelknecht,6.47,7.33,2015.00,978.00,10.00,1394.00,,Kodama: The Tree Spirits(2016),New Amazon: $40.95
178,Kodama: The Tree Spirits,6.46,6.82,2016.00,979.00,10.00,3695.00,19.99,,List: $19.99New Amazon: $16.74
179,Ca$h 'n Gun$,6.46,6.61,2005.00,980.00,10.00,9356.00,,,Lowest Amazon: $31.99New Amazon: $33.64
180,Age of Renaissance,6.46,7.11,1996.00,981.00,10.00,2056.00,,,Lowest Amazon: $189.99New Amazon: $287.78
181,Fantasy Realms,6.46,7.37,2017.00,982.00,10.00,1347.00,,Porta Nigra(2015),Used Amazon: $89.99
182,Porta Nigra,6.46,7.24,2015.00,983.00,10.00,1511.00,,,Lowest Amazon: $18.50New Amazon: $22.00
183,Tiny Epic Zombies,6.46,7.30,2018.00,984.00,10.00,1802.00,24.94,New Amazon: $20.00,List: $24.94Lowest Amazon: $16.50New Amazon: $20.00
184,Star Wars: Epic Duels,6.46,6.97,2002.00,985.00,10.00,2909.00,49.99,New Amazon: $205.99,List: $49.99Lowest Amazon: $79.99New Amazon: $205.99
185,Blokus Trigon,6.46,6.93,2006.00,986.00,10.00,2694.00,29.99,,List: $29.99New Amazon: $29.31
186,Ticket to Ride: New York,6.46,7.13,2018.00,987.00,10.00,1845.00,19.99,,List: $19.99New Amazon: $19.15
187,Crisis,6.46,7.66,2016.00,988.00,10.00,1041.00,,List: $29.99Lowest Amazon: $29.47New Amazon: $29.76,
188,Coup: Rebellion G54,6.46,7.08,2014.00,989.00,10.00,2055.00,29.99,New Amazon: $29.76,List: $29.99Lowest Amazon: $29.47New Amazon: $29.76
189,Olympos,6.46,6.96,2011.00,990.00,10.00,2390.00,,Power Struggle(2009),New Amazon: $45.74
190,Power Struggle,6.46,7.01,2009.00,991.00,10.00,2144.00,,Puzzle Strike (Third Edition)(2012),New Amazon: $44.95
191,Puzzle Strike (Third Edition),6.46,7.29,2012.00,992.00,10.00,1590.00,,iOS App: $3.99,Lowest Amazon: $77.00New Amazon: $500.00
192,Sentient,6.46,7.31,2017.00,993.00,10.00,1427.00,55.00,,List: $55.00New Amazon: $37.00
193,Giants,6.46,6.99,2008.00,994.00,10.00,2289.00,,,Lowest Amazon: $124.99New Amazon: $149.99
194,Balloon Cup,6.46,6.69,2003.00,995.00,10.00,5356.00,,Crusaders: Thy Will Be Done(2018),New Amazon: $149.90
195,Crusaders: Thy Will Be Done,6.46,7.67,2018.00,996.00,10.00,1003.00,59.95,New Amazon: $47.96,List: $59.95Lowest Amazon: $47.41New Amazon: $47.96
196,Traders of Osaka,6.46,6.86,2006.00,997.00,10.00,2884.00,29.99,New Amazon: $30.77,List: $29.99Lowest Amazon: $29.88New Amazon: $30.77
197,Happy Salmon,6.46,6.89,2016.00,998.00,10.00,2891.00,14.99,,List: $14.99New Amazon: $12.00
198,CV,6.46,6.71,2013.00,999.00,10.00,5083.00,,Rise of Empires(2009),New Amazon: $24.46
199,Rise of Empires,6.46,7.07,2009.00,1000.00,10.00,1939.00,55.00,,List: $55.00New Amazon: $54.50
